87,94,115
1,6,71
19,53,153
12,22,88
52,137,146
15,39,131
42,61,128
65,103,108
23,62,168
86,138,152
20,69,18
142,43,3
93,58,78
58,160,38
26,105,166
170,2,57
170,97,99
148,73,140
131,29,91
163,131,60
27,7,136
106,142,62
102,108,46
94,22,140
78,12,54
135,125,50
16,128,105
85,33,122
88,98,4
102,166,9
55,82,5
59,70,63
139,105,67
101,119,31
66,25,125
112,3,110
125,12,116
35,42,135
133,169,95
152,103,168
40,83,126
116,143,20
154,52,60
56,81,24
83,113,18
161,131,167
161,137,100
144,154,21
123,55,47
62,61,44
137,123,133
34,94,55
104,126,12
112,47,43
46,123,67
139,145,19
62,44,125
113,57,161
61,156,160
117,92,27
100,20,170
133,87,94
35,23,81
135,16,77
101,156,63
82,155,28
86,42,34
129,72,12
123,36,20
46,41,22
26,128,98
84,119,12
154,41,79
90,73,30
98,146,42
81,24,45
132,29,101
96,142,14
40,165,95
45,124,93
75,94,54
36,14,149
57,116,109
76,13,164
157,91,164
82,144,1
58,132,92
58,141,39
112,155,131
34,15,50
6,19,129
120,167,88
41,48,102
7,141,41
94,63,156
69,65,150
50,33,54
53,126,142
16,12,27
169,136,72
24,84,64
64,41,126
155,70,126
106,156,7
69,136,153
7,41,95
69,118,160
53,146,20
65,160,38
29,56,97
109,43,130
61,19,120
121,143,154
81,60,79
99,120,160
81,23,128
144,104,150
99,23,50
30,115,164
167,73,45
69,107,93
112,158,82
77,122,68
60,73,122
131,135,124
27,121,131
86,163,170
34,75,39
57,53,82
50,24,156
152,73,169
52,170,137
138,56,148
139,29,142
153,81,118
109,86,71
21,57,160
134,128,115
41,118,119
67,151,87
95,67,165
5,76,3
16,55,53
144,22,42
46,134,102
37,10,27
85,67,155
4,26,169
77,96,105
30,79,165
27,150,34
51,36,7
3,38,53
34,33,6
79,28,17
24,126,70
20,149,153
126,58,160
33,53,9
39,124,120
44,120,144
29,64,6
164,133,94
87,157,80
144,17,55
81,160,91
27,76,93
39,30,46
71,141,19
8,47,146
16,96,157
152,155,2
72,121,1
13,2,147
60,126,56
70,23,92
8,168,45
41,162,17
47,166,6
65,106,138
165,44,145
149,91,159
142,129,128
31,82,141
88,57,37
88,38,165
87,67,168
23,68,109
19,39,111
129,22,169
85,47,55
119,14,106
13,53,164
102,61,159
55,130,5
131,70,156
96,13,59
53,117,121
100,90,161
119,105,50
42,151,19
108,25,97
134,151,127
155,156,70
16,33,109
11,15,83
110,159,144
162,25,130
35,165,15
107,98,126
85,49,5
135,134,93
157,120,101
139,70,170
57,43,84
112,34,73
126,154,150
55,26,146
34,13,94
141,67,129
148,103,5
170,16,81
119,55,11
83,73,170
45,149,7
129,66,41
32,83,56
22,90,156
80,168,103
45,29,98
61,162,163
30,10,139
46,4,170
136,120,70
33,84,170
168,36,41
37,134,138
49,14,70
126,17,104
134,28,65
118,152,168
81,33,103
38,46,141
121,62,105
80,162,45
29,53,68
11,36,97
160,166,102
63,170,60
144,19,123
